區別,土地面積(平方公里 ),人口數,人口密度(每平方公里)
新營區,38.5386,78165,2028.226246
鹽水區,52.2455,26085,499.2774497
白河區,126.4046,29271,231.5659398
柳營區,61.2929,21629,352.879371
後壁區,72.2189,24329,336.8785733
東山區,124.9178,21603,172.9377238
麻豆區,53.9744,44987,833.4877275
下營區,33.5291,24786,739.2384526
六甲區,67.5471,22586,334.3740886
官田區,70.7953,21685,306.3056446
大內區,70.3125,10054,142.9902222
佳里區,38.9422,59555,1529.317809
學甲區,53.9919,26652,493.6296
西港區,33.7666,24921,738.0369951
七股區,110.1492,23365,212.1213772
將軍區,41.9796,20309,483.7825992
北門區,44.1003,11527,261.3814418
新化區,62.0579,43828,706.2436853
善化區,55.3097,46933,848.5491695
新市區,47.8096,35853,749.9121515
安定區,31.27,30331,969.9712184
山上區,27.878,7437,266.7694957
玉井區,76.3662,14388,188.4079606
楠西區,109.6316,10032,91.50646346
南化區,171.5198,8893,51.84824143
左鎮區,74.9025,5071,67.70134508
仁德區,50.7664,73887,1455.431151
歸仁區,55.7913,67906,1217.143175
關廟區,53.6413,34719,647.2438215
龍崎區,64.0814,4196,65.47921862
永康區,40.2753,230806,5730.708399
東區,13.4156,188865,14078.01366
南區,27.2681,125738,4611.175696
北區,10.434,132651,12713.341
安南區,107.2016,189620,1768.816883
安平區,11.0663,65380,5908.027073
中西區,6.26,77498,12379.8722
